tweet_id,dog_types,month,retweet_count,favorite_count,rating
706310011488698368,pupper,March,7117,19500,1.2
705975130514706432,pupper,March,661,2857,1.0
705786532653883392,pupper,March,466,1788,1.1
705428427625635840,pupper,March,1515,3500,1.1
704859558691414016,pupper,March,476,2064,1.0
704761120771465216,pupper,March,2617,6118,1.3
704347321748819968,pupper,February,313,1442,1.0
704054845121142784,pupper,February,841,2690,1.2
703611486317502464,pupper,February,1379,3538,1.0
703407252292673536,pupper,February,623,2252,1.0
703268521220972544,pupper,February,494,1826,1.2
702598099714314240,pupper,February,3126,11304,1.1
701545186879471618,pupper,February,549,2445,1.0
700864154249383937,pupper,February,555,2391,1.2
700151421916807169,pupper,February,607,2050,1.1
700143752053182464,pupper,February,2427,6904,1.0
699801817392291840,pupper,February,846,2769,1.1
699434518667751424,pupper,February,464,2023,1.2
697616773278015490,pupper,February,921,2890,1.1
697596423848730625,pupper,February,1131,2767,1.1
696877980375769088,pupper,February,636,2254,0.9
696713835009417216,pupper,February,583,2169,0.9
695095422348574720,pupper,February,549,2449,1.2
695074328191332352,pupper,February,990,2601,1.1
694356675654983680,pupper,February,250,1386,1.0
694329668942569472,pupper,February,449,1817,0.9
693629975228977152,pupper,January,719,2255,1.2
693590843962331137,pupper,January,1774,4650,0.3
693262851218264065,pupper,January,452,2039,1.1
693095443459342336,pupper,January,403,1697,1.0
692905862751522816,pupper,January,789,2231,1.0
692828166163931137,pupper,January,795,2653,1.2
692752401762250755,pupper,January,3294,6265,1.3
692417313023332352,pupper,January,3130,8638,0.7
690959652130045952,pupper,January,1112,3305,1.1
690015576308211712,pupper,January,659,2295,1.2
689905486972461056,pupper,January,622,2253,1.1
689623661272240129,pupper,January,579,2038,1.0
689143371370250240,pupper,January,454,1862,1.0
688916208532455424,pupper,January,772,2490,1.1
688894073864884227,pupper,January,618,2058,0.7
688519176466644993,pupper,January,657,2146,1.2
688179443353796608,pupper,January,527,1976,1.0
687818504314159109,pupper,January,862,2278,1.2
687704180304273409,pupper,January,764,2237,0.9
687476254459715584,pupper,January,481,1824,1.1
687312378585812992,pupper,January,1726,3997,0.7
687096057537363968,pupper,January,551,2072,1.1
686683045143953408,pupper,January,729,2604,1.1
686618349602762752,pupper,January,1237,3403,1.1
686377065986265092,pupper,January,514,2042,1.0
686007916130873345,pupper,January,363,2273,1.1
685943807276412928,pupper,January,533,1494,0.8
685667379192414208,pupper,January,507,2178,0.9
685641971164143616,pupper,January,694,2682,0.7
685547936038666240,pupper,January,14077,30300,1.4
685268753634967552,pupper,January,1070,2832,1.0
685169283572338688,pupper,January,1272,3771,1.1
684880619965411328,pupper,January,722,1917,0.5
684225744407494656,pupper,January,183,1137,1.1
684222868335505415,pupper,January,1238,3505,1.1
684200372118904832,pupper,January,943,1979,0.6
683857920510050305,pupper,January,1017,3508,1.0
683834909291606017,pupper,January,1017,2404,0.9
683828599284170753,pupper,January,969,2578,1.2
683481228088049664,pupper,January,901,2442,1.1
683462770029932544,pupper,January,620,2237,0.8
683142553609318400,pupper,January,931,2639,0.9
683111407806746624,pupper,January,814,3138,1.0
683078886620553216,pupper,January,517,1852,0.9
682788441537560576,pupper,January,1016,2277,1.2
682406705142087680,pupper,December,1584,6948,0.7
681891461017812993,pupper,December,744,2265,1.0
681694085539872773,pupper,December,3678,11780,1.1
681679526984871937,pupper,December,399,1627,0.7
681654059175129088,pupper,December,819,2410,1.2
681231109724700672,pupper,December,436,2231,1.1
680836378243002368,pupper,December,1182,3176,1.2
680583894916304897,pupper,December,1185,3292,0.8
680494726643068929,pupper,December,438,1570,2.6
680473011644985345,pupper,December,668,2340,1.0
680191257256136705,pupper,December,440,1972,1.1
680176173301628928,pupper,December,1390,3549,1.0
680145970311643136,pupper,December,1555,3305,1.0
680100725817409536,pupper,December,1244,3293,1.1
679828447187857408,pupper,December,12529,33047,1.3
679777920601223168,pupper,December,991,2851,1.0
